Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
97,Kyle Kuzma,29,MIL,PF,21,20,33.1,5.2,12.0,.437,1.3,4.5,.295,3.9,7.5,.522,.492,2.2,3.3,.671,0.8,6.0,6.7,2.0,0.4,0.2,2.1,2.0,14.0,,kuzmaky01
98,Naz Reid,25,MIN,C,71,17,27.9,5.4,11.8,.460,2.3,6.0,.385,3.1,5.9,.535,.557,1.4,1.8,.771,1.2,5.0,6.1,2.3,0.8,1.0,1.4,2.4,14.6,,reidna01
99,Klay Thompson,34,DAL,SF,62,62,27.8,5.2,12.5,.415,3.1,7.8,.395,2.1,4.7,.449,.539,1.0,1.1,.899,0.7,2.9,3.6,2.1,0.7,0.5,1.3,1.2,14.5,,thompkl01
100,Fred VanVleet,30,HOU,PG,53,53,35.3,5.0,12.9,.386,2.7,7.8,.349,2.2,5.1,.442,.491,1.8,2.3,.817,0.6,3.4,3.9,5.6,1.6,0.4,1.5,2.4,14.5,,vanvlfr01
101,Deandre Ayton,26,POR,C,40,40,30.2,6.6,11.7,.566,0.2,0.8,.188,6.5,10.9,.594,.573,1.0,1.5,.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2,14.4,,aytonde01
102,Gradey Dick,21,TOR,SG,54,54,29.4,4.9,12.0,.410,2.1,6.0,.350,2.8,5.9,.470,.498,2.5,2.9,.858,0.8,2.8,3.6,1.8,0.9,0.2,1.5,2.2,14.4,,dickgr01
103,Jerami Grant,30,POR,PF,47,47,32.4,4.6,12.2,.373,2.3,6.3,.365,2.3,5.9,.381,.467,3.0,3.5,.849,0.6,2.9,3.5,2.1,0.9,1.0,1.4,2.3,14.4,,grantje01
104,Aaron Gordon,29,DEN,PF,43,34,27.6,5.0,9.5,.528,1.5,3.3,.458,3.5,6.2,.566,.608,2.7,3.4,.814,1.6,3.3,4.9,3.1,0.5,0.2,1.3,1.6,14.3,,gordoaa01
105,Jakob Poeltl,29,TOR,C,53,52,29.8,6.2,10.1,.621,0.0,0.1,.333,6.2,10.0,.623,.622,1.8,2.6,.676,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.2,14.3,,poeltja01
106,Payton Pritchard,27,BOS,PG,70,1,28.3,5.0,10.6,.468,3.3,7.9,.418,1.7,2.7,.617,.624,0.9,1.1,.846,1.3,2.4,3.7,3.4,0.9,0.2,0.9,1.5,14.2,,pritcpa01
107,Dillon Brooks,29,HOU,SF,68,68,32.4,5.1,12.0,.424,2.5,6.3,.395,2.6,5.7,.456,.528,1.4,1.7,.823,1.1,2.8,3.8,1.7,0.8,0.2,1.0,3.4,14.1,,brookdi01
108,Tre Mann,23,CHO,PG,13,0,24.5,5.4,12.4,.435,1.8,4.6,.400,3.5,7.8,.455,.509,1.5,1.6,.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,14.1,,manntr01
